Date,technology_sentiment,technology_confidence,technology_count,financial_sentiment,financial_confidence,financial_count,consumer_cyclical_sentiment,consumer_cyclical_confidence,consumer_cyclical_count,healthcare_sentiment,healthcare_confidence,healthcare_count,industrials_sentiment,industrials_confidence,industrials_count
2013-01-07,0.0,0.366408016046553,20,-0.2291799067982096,0.2709783525890683,15,0.0,0.3292333642374028,20,0.0,0.3119489543918517,20,0.0,0.2338342551794632,3
2013-01-14,0.0,0.3718578427820181,20,-0.0844010014334288,0.2601441727437076,20,0.0,0.3547242079401657,20,0.0,0.3228762902132575,20,0.0,0.2249850068880157,1
2013-01-21,0.0,0.3731482322270224,20,-0.3121273339995351,0.2029239155921451,11,0.0,0.3475499293346579,20,0.0,0.3245365348196848,20,0.0,0.218494569201372,2
2013-01-28,0.0,0.3691958891228083,20,-0.1606289973667613,0.2929826254367712,13,0.0,0.3533499643393222,20,0.0,0.3191463147773289,20,0.0,0.2112540786770012,1
2013-02-04,0.0,0.3735239683690782,20,-0.0218945936482209,0.269562626504646,20,0.0,0.3573693274797208,20,0.0,0.3129457487642912,20,0.0,0.2539002960961909,1
2013-02-11,0.0,0.3726959844487122,20,-0.1008497690983497,0.2318252901349147,15,0.0,0.3563322830575581,20,0.0,0.3139187884628147,20,0.0,0.3126613854969524,4
2013-02-18,0.0,0.3722288356439491,20,-0.3475052425408109,0.2418676501396915,19,0.0,0.3574338815648122,20,0.0,0.3023191441942684,20,0.1030665611544393,0.2529568331085489,5
2013-02-25,0.0,0.3672142238512442,20,-0.1665551485093757,0.2158954118809597,16,0.0,0.3454804609265283,20,0.0,0.3227636001463786,20,0.0,0.1193119287092128,2
2013-03-04,0.0,0.3749957205173566,20,-0.0859763114445031,0.2544227094876182,16,0.0,0.3428232102473998,20,0.0,0.3271931599882355,20,0.0,0.2567800722173032,2
2013-03-11,0.0,0.3729121647350206,20,-0.1913022777369389,0.2447928623827308,17,0.0,0.3449858922368524,20,0.0,0.3103716039447998,20,0.0,0.2965968801695586,2
2013-03-18,0.0,0.3711023201275601,20,-0.3871828320153255,0.2614744396739468,7,0.0,0.3532924467946195,20,0.0,0.3050017536912757,20,0.0,0.2253239996400937,2
2013-03-25,0.0,0.368040437160049,20,-0.228725423065286,0.2425745914711688,20,0.0,0.3477863024250487,20,0.0,0.3312590398988811,20,-0.134542879208434,0.2137861973123506,5
2013-04-01,0.0,0.3782071439129242,20,0.0,0.2246004147843395,10,0.0,0.3567877935968125,20,0.0,0.2970581184394982,20,0.0,0.1647028394767809,3
2013-04-08,0.0,0.3743935523526348,20,-0.0961345705967259,0.259047537284615,19,0.0,0.3438625155681739,20,0.0,0.3037303683559146,20,0.0,0.231332701421539,3
2013-04-15,0.0,0.377525096863963,20,-0.0993220314844847,0.2242269429370562,14,0.0,0.3378188461148482,20,0.0,0.2866460258214277,20,0.1827762039139744,0.2735963693879335,4
2013-04-22,0.0,0.3726378973441204,20,-0.1202392031911998,0.1967338938792295,16,0.0,0.3409809695177231,20,0.0,0.3158471837379907,20,0.0,0.246301000333102,3
2013-04-29,0.0,0.3814918203568728,20,-0.1493381869210994,0.2182454498389376,20,0.0,0.3494663591732433,20,0.0,0.314891355284642,20,0.0,0.2275770015691605,4
2013-05-06,0.0,0.3715485568515294,20,-0.134733950464211,0.258625597132247,17,0.0,0.357725724095623,20,0.0,0.3204454540388669,20,0.0,0.1629356193344098,4
2013-05-13,0.0,0.3719031230101429,20,-0.0459767418738191,0.2648714541981414,11,0.0,0.3613647859252021,20,0.0,0.2956172419524646,20,0.0,0.1424707337159348,3
2013-05-20,0.0,0.3722226415301247,20,-0.2115017003266631,0.2630359494987616,18,0.0,0.3593483518732629,20,0.0,0.2878914234573518,20,0.1816624058646549,0.3002799795093125,4
2013-05-27,0.0,0.376363449321644,20,-0.0308594491250333,0.2773713330531148,20,0.0,0.3528082136084004,20,0.0,0.3103573467226213,20,0.0,0.2560669204345345,1
2013-06-03,0.0,0.3717722533103206,20,-0.0296875366134082,0.2412084056549163,15,0.0,0.3546026558883294,20,0.0,0.3013009187113655,20,0.0,0.2444883601750738,4
2013-06-10,0.0,0.3726630219425513,20,-0.1114170064537773,0.1972247463779816,16,0.0,0.3506119765869663,20,0.0,0.2997294892505122,20,0.0,0.0,0
2013-06-17,0.0,0.3740876084032539,20,-0.1859340479560673,0.2496798707052648,18,0.0,0.3455601272826104,20,0.0,0.3022081013730635,20,0.2724408602448155,0.1321635750809398,3
2013-06-24,0.0,0.3796118951215013,20,-0.1560534047178065,0.236748395777775,20,0.0,0.35972946487419,20,0.0,0.3067315368135072,20,0.0,0.1945933054996032,2
2013-07-01,0.0,0.3764403438208671,20,-0.0586325252668357,0.2939507288577804,9,0.0,0.3578787204528274,20,0.0,0.3223545017918328,20,-0.2135788890944479,0.1990190343363639,5
2013-07-08,0.0,0.3748383326404384,20,-0.2560399079962531,0.2235350231664112,16,0.0,0.3409434118282591,20,0.0,0.2898588456912075,20,0.0,0.2741898877563044,3
2013-07-15,0.0,0.3751328017320589,20,-0.0321655190114519,0.2864372376285601,11,0.0,0.3497741320752389,20,0.0,0.3238807445206286,20,0.0,0.2590227270566263,2
2013-07-22,0.0,0.3674760538504888,20,-0.0689767400487612,0.2329073629352743,18,0.0,0.3369621532915232,20,0.0,0.3213308992511625,20,0.0,0.2931814546478684,1
2013-07-29,0.0,0.3742072359148278,20,-0.0991303631132765,0.2736617239242431,12,0.0,0.3642818906609779,20,0.0,0.3081955665098637,20,0.0,0.2180864271552066,6
