week,technology_count,financial_count,consumer_cyclical_count,healthcare_count,industrials_count
2021-W41,18,1,1,2,0
2021-W42,20,1,0,0,1
2021-W43,13,2,0,5,0
2021-W44,14,0,0,5,0
2021-W45,10,0,0,2,0
2021-W46,9,2,0,4,0
2021-W47,7,1,0,4,1
2021-W48,10,0,1,6,0
2021-W49,7,3,0,7,0
2021-W50,10,2,1,5,0
2021-W51,14,0,2,3,0
2021-W52,11,1,1,4,1
2022-W01,9,0,0,5,0
2022-W02,8,2,1,6,0
2022-W03,11,0,1,2,0
2022-W04,15,0,1,4,0
2022-W05,9,0,1,5,0
2022-W06,14,0,1,3,0
2022-W07,5,0,0,0,1
2022-W08,6,0,0,5,1
2022-W09,9,0,1,3,0
2022-W10,2,0,0,1,0
2022-W11,4,0,0,8,0
2022-W12,13,0,0,3,0
2022-W13,10,1,0,3,0
2022-W14,12,0,1,2,0
2022-W15,9,0,0,5,0
2022-W16,6,1,1,4,2
2022-W17,8,2,0,0,1
2022-W18,12,0,0,3,0
2022-W19,9,2,0,1,0
2022-W20,13,1,3,5,0
2022-W21,11,1,0,3,0
2022-W22,16,1,0,2,1
2022-W23,16,0,1,1,0
2022-W24,13,1,2,3,0
2022-W25,14,0,0,3,1
2022-W26,7,1,1,1,0
2022-W27,11,0,0,2,0
2022-W28,12,2,2,4,0
2022-W29,8,1,0,4,0
2022-W30,9,1,0,2,0
2022-W31,11,0,0,4,1
2022-W32,9,1,1,4,0
2022-W33,9,0,0,8,0
2022-W34,7,0,2,5,1
2022-W35,10,0,0,7,0
2022-W36,10,1,2,2,0
2022-W37,16,2,1,1,2
2022-W38,6,0,0,3,0
