Date,technology_sentiment,technology_confidence,technology_count,financial_sentiment,financial_confidence,financial_count,consumer_cyclical_sentiment,consumer_cyclical_confidence,consumer_cyclical_count,healthcare_sentiment,healthcare_confidence,healthcare_count,industrials_sentiment,industrials_confidence,industrials_count
2018-01-01,0.0,0.3471969958523105,20,-0.0943474981535317,0.1718827792085977,14,0.0428944029487715,0.2351863957509799,10,-0.0278857909070821,0.2419737258510246,20,0.0,0.2084363651236042,5
2018-01-08,0.0,0.349414451600641,20,-0.1633769208927241,0.1863970615454624,9,0.0,0.2441020221021957,7,-0.0242765649332687,0.2521469229829672,20,-0.0895211293934208,0.2142048235297385,6
2018-01-15,0.0,0.3352592221018612,20,-0.2872147804323697,0.1921294911164388,15,0.0,0.2677598949706283,12,0.0,0.2619000626811887,20,0.0,0.248535525549141,4
2018-01-22,0.0,0.33892627310653,20,-0.2372218484305472,0.1653372977172053,10,0.0382467673181456,0.2699790725631274,12,0.0,0.2533494836916403,20,0.0,0.1871246011174254,8
2018-01-29,0.0,0.3444155570663161,20,-0.0920252337781757,0.2174023680807685,15,0.025389032254899,0.2509410023782715,10,-0.0282533211064757,0.2382928313340473,20,0.0,0.1931893702708501,3
2018-02-05,0.0,0.3345762247309659,20,-0.1407131627448652,0.1809023005627109,9,0.0,0.2791633928196896,7,0.0,0.2499911723862898,20,0.0,0.2463204754655521,3
2018-02-12,0.0,0.3376807020051961,20,-0.213297392395802,0.2023198566002148,13,0.0,0.255760330804093,5,-0.0330666793917841,0.242069340274204,20,0.0,0.0952198326904181,1
2018-02-19,0.0,0.3284116600777679,20,-0.2588388290428921,0.2168765241512714,6,-0.0648277437396887,0.2188252019486262,10,-0.0284636922267527,0.2371044110443458,20,0.0,0.1679792500958557,5
2018-02-26,0.0,0.3494704953183068,20,-0.3176236124356121,0.1738534598337884,13,0.0526808074217743,0.2407657844713509,11,-0.0269181514003954,0.2439647792861441,20,0.0,0.0,0
2018-03-05,0.0,0.3307444142550874,20,-0.0487320532183555,0.231065843215978,11,-0.0122831879116317,0.254852262607039,17,-0.0850561109913052,0.2336379007096204,20,0.3270770263795627,0.1699339941167578,3
2018-03-12,0.0,0.3303565091549824,20,-0.1455501823958416,0.2342627890152558,10,0.0610081407542693,0.2574702266829064,10,0.0,0.274293226463082,20,0.0,0.2011255790181905,2
2018-03-19,0.0,0.329932927702616,20,-0.3293913897855025,0.188203768920039,9,0.0,0.2337967592694067,5,-0.0317648257366452,0.2315558381087362,20,0.1853433460381908,0.2381842271455037,4
2018-03-26,0.0,0.336357275039176,20,-0.1523798477787971,0.1567681629056068,11,-0.0777830557726192,0.2141574801399576,11,0.0,0.2486148135557737,20,0.0,0.1779899198885606,2
2018-04-02,0.0,0.3242819758127122,20,-0.4121903382033418,0.1693720472107805,7,-0.070722201594079,0.2092734010606365,9,0.0,0.2406057798175608,20,0.0,0.1771348478046187,3
2018-04-09,0.0,0.3317736111745889,20,-0.3840218497111375,0.2037648421523429,12,0.0082013246027145,0.2510751572945913,12,-0.0417063363012743,0.2512584781274292,20,0.0,0.2433128482506443,4
2018-04-16,0.0,0.3255632482141769,20,-0.2552554529347709,0.1933538281338869,9,0.0,0.2146511505301631,8,0.0,0.2580429761534568,20,0.0,0.2064172658306886,6
2018-04-23,0.0,0.340826456445488,20,-0.0711723999488491,0.164044240565456,10,0.0,0.2379834483576373,14,0.0,0.2288177408250847,20,0.0,0.2031308210107873,5
2018-04-30,0.0,0.3367567722246797,20,-0.1278555773844965,0.1988378225708006,12,0.0,0.2211644453950182,8,-0.0253373232607585,0.2494959586161384,20,0.0,0.0,0
2018-05-07,0.0,0.3253960059974247,20,-0.1170543468446572,0.2447035760980554,5,0.0596386369194224,0.2376443784569007,13,0.0,0.23147603949082,20,0.0,0.2570105594536424,3
2018-05-14,0.0,0.3308923113690223,20,-0.1746142834328459,0.2126868158491831,15,0.0,0.2411652024454781,13,0.0,0.2499716420422664,20,0.0,0.1188741209596955,2
2018-05-21,0.0,0.3179532876806827,20,-0.3685467660937494,0.2151087666266223,9,0.0,0.2138287608983673,6,-0.0438870107879627,0.2255419408334504,20,-0.0725205381035094,0.2124500034871568,5
2018-05-28,0.0,0.2415584074589489,9,0.0,0.0,0,0.0,0.0,0,0.0,0.1656932303570144,3,0.0,0.0,0
2018-06-04,0.0,0.2651832839266408,7,0.0,0.2417469948765749,1,0.0,0.2846779706425426,2,-0.2890611899348785,0.1806574384790202,2,0.3009568853864841,0.225546045579307,2
2018-06-11,0.0,0.2556756313929877,12,0.0,0.1027876189648688,1,0.0,0.2648021971729566,2,0.0,0.0,0,0.0,0.0,0
2018-06-18,0.0,0.258363190650015,9,0.0,0.3494666227479985,1,0.0,0.2489368788891228,2,0.0,0.2493172855561454,1,0.0,0.0,0
2018-06-25,0.0779544494554619,0.2198998724626287,7,-0.2450774034927041,0.137152947972071,3,0.0,0.0,0,-0.2519181364525847,0.2026439263556385,2,0.0,0.0,0
2018-07-02,-0.0505661762886205,0.2287129505770675,10,0.0,0.3516289917555681,1,-0.4691149890422821,0.165730442942972,1,0.0,0.1458873596497127,2,0.0,0.0,0
2018-07-09,0.0,0.2211831453480606,14,0.0,0.2701638030815836,2,0.0,0.2155108663409635,1,-0.3189439665879487,0.2488564412953806,2,0.0,0.0969998033572778,1
2018-07-16,0.0,0.2009619805200023,8,0.0,0.0,0,0.0,0.0,0,0.0,0.1892493197156254,3,0.0,0.0,0
2018-07-23,-0.121118059598511,0.2105251624138659,4,0.0,0.1500578245172619,1,0.0,0.3394761342432453,1,0.0,0.0,0,0.0,0.0,0
2018-07-30,-0.0992149040727924,0.2723011176472752,5,0.0,0.0,0,0.0,0.235000881343339,1,-0.5843077898025513,0.1894729878409968,1,0.0,0.0,0
2018-08-06,0.0,0.2726316035604827,6,0.0,0.1904475929658513,1,0.0,0.0,0,0.0,0.1215115628711043,1,0.0,0.0,0
2018-08-13,0.0,0.2104890763378929,5,0.0,0.0,0,0.0,0.3114836077622271,1,0.0,0.2140234929422604,1,0.0,0.2190799671140215,1
2018-08-20,0.0,0.2124953239740225,5,0.0,0.2385068567271518,3,0.0,0.0,0,-0.1852425868508905,0.2464228025298709,3,0.0,0.0,0
